"","ASV","taxon","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"23","ASV119","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"24","ASV12","Acipenser fulvescens","species","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota"
"25","ASV120","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"26","ASV121","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"27","ASV122","Hemilepidotus","genus",NA,"Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"28","ASV123","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"29","ASV124","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"30","ASV126","Hippoglossoides","genus",NA,"Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"31","ASV127","Myoxocephalus","genus",NA,"Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"32","ASV128","Agonidae","family",NA,NA,"Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"33","ASV129","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"34","ASV13","Glyptocephalus zachirus","species","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"35","ASV130","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"36","ASV131","Hippoglossoides","genus",NA,"Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"37","ASV132","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"38","ASV133","Hippoglossoides","genus",NA,"Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"39","ASV134","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"40","ASV135","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"41","ASV136","Cottidae","family",NA,NA,"Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"42","ASV137","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"43","ASV138","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"44","ASV139","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"45","ASV14","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"46","ASV140","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"47","ASV141","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"48","ASV143","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"49","ASV144","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"50","ASV145","Bovidae","family",NA,NA,"Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"51","ASV146","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"52","ASV147","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"53","ASV148","Lycodes","genus",NA,"Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"54","ASV149","Bathyagonus","genus",NA,"Bathyagonus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"55","ASV15","Icelus spatula","species","Icelus spatula","Icelus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"56","ASV150","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"57","ASV151","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"58","ASV152","Hippoglossoides","genus",NA,"Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"59","ASV153","Zaprora silenus","species","Zaprora silenus","Zaprora","Zaproridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"60","ASV155","Bathymaster","genus",NA,"Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"61","ASV156","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"62","ASV157","Acipenser fulvescens","species","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota"
"63","ASV158","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"64","ASV159","Lycodes palearis","species","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"65","ASV16","Bathymaster","genus",NA,"Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota"
"66","ASV161","Cottidae","family",NA,NA,"Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"67","ASV162","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"68","ASV163","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"69","ASV164","Acipenser fulvescens","species","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota"
"70","ASV165","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"71","ASV166","Acipenser fulvescens","species","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota"
"72","ASV167","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"73","ASV168","Oncorhynchus gorbuscha","species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"74","ASV169","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"75","ASV17","Hippoglossus stenolepis","species","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"76","ASV170","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"77","ASV171","Oncorhynchus tshawytscha","species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"78","ASV172","Cottidae","family",NA,NA,"Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"79","ASV173","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"80","ASV174","Glyptocephalus zachirus","species","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"81","ASV176","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"82","ASV177","Microgadus proximus","species","Microgadus proximus","Microgadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"83","ASV178","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"84","ASV18","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"85","ASV180","Cottidae","family",NA,NA,"Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"86","ASV181","Careproctus","genus",NA,"Careproctus","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"87","ASV182","Canis lupus","species","Canis lupus","Canis","Canidae","Carnivora","Mammalia","Chordata","Eukaryota"
"88","ASV183","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"89","ASV185","Gasterosteus aculeatus","species","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"90","ASV186","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"91","ASV187","Ammodytes personatus","species","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota"
"92","ASV188","Ptilichthys goodei","species","Ptilichthys goodei","Ptilichthys","Ptilichthyidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"93","ASV189","Myoxocephalus","genus",NA,"Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"94","ASV19","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"95","ASV191","Sebastolobus","genus",NA,"Sebastolobus","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"96","ASV192","Dasycottus setiger","species","Dasycottus setiger","Dasycottus","Psychrolutidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"97","ASV193","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"98","ASV195","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"99","ASV197","Myoxocephalus","genus",NA,"Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"100","ASV198","Homo","genus",NA,"Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"101","ASV199","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"102","ASV2","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"103","ASV20","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"104","ASV203","Lycodes","genus",NA,"Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"105","ASV207","Sus scrofa","species","Sus scrofa","Sus","Suidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"106","ASV208","Hemitripterus bolini","species","Hemitripterus bolini","Hemitripterus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"107","ASV21","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"108","ASV210","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"109","ASV211","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"110","ASV213","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"111","ASV216","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"112","ASV218","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"113","ASV219","Bathyraja","genus",NA,"Bathyraja","Arhynchobatidae","Rajiformes","Chondrichthyes","Chordata","Eukaryota"
"114","ASV22","Gadus macrocephalus","species","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"115","ASV220","Canis lupus","species","Canis lupus","Canis","Canidae","Carnivora","Mammalia","Chordata","Eukaryota"
"116","ASV227","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"117","ASV23","Homo sapiens","species","Homo sapiens","Homo","Hominidae","Primates","Mammalia","Chordata","Eukaryota"
"118","ASV24","Lycodes palearis","species","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"119","ASV26","Hemilepidotus","genus",NA,"Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"120","ASV27","Lepidopsetta","genus",NA,"Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"121","ASV28","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"122","ASV29","Pleuronectes quadrituberculatus","species","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"123","ASV3","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"124","ASV30","Glyptocephalus zachirus","species","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"125","ASV31","Hemitripterus bolini","species","Hemitripterus bolini","Hemitripterus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"126","ASV32","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"127","ASV33","Triglops scepticus","species","Triglops scepticus","Triglops","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"128","ASV34","Bovidae","family",NA,NA,"Bovidae","Artiodactyla","Mammalia","Chordata","Eukaryota"
"129","ASV35","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"130","ASV36","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"131","ASV37","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"132","ASV38","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"133","ASV39","Oncorhynchus keta","species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"134","ASV4","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"135","ASV40","Hippoglossoides","genus",NA,"Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"136","ASV41","Acipenser fulvescens","species","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Actinopteri","Chordata","Eukaryota"
"137","ASV42","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"138","ASV43","Reinhardtius hippoglossoides","species","Reinhardtius hippoglossoides","Reinhardtius","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"139","ASV44","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"140","ASV45","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"141","ASV46","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"142","ASV47","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"143","ASV48","Gadidae","family",NA,NA,"Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"144","ASV49","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"145","ASV5","Hippoglossoides","genus",NA,"Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"146","ASV50","Glyptocephalus zachirus","species","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"147","ASV51","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"148","ASV52","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"149","ASV53","Sarritor leptorhynchus","species","Sarritor leptorhynchus","Sarritor","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"150","ASV54","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"151","ASV55","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"152","ASV56","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"153","ASV57","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"154","ASV58","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"155","ASV59","Limanda aspera","species","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"156","ASV6","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"157","ASV60","Myoxocephalus","genus",NA,"Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"158","ASV61","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"159","ASV62","Hemilepidotus","genus",NA,"Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"160","ASV63","Hemilepidotus","genus",NA,"Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"161","ASV64","Bathyagonus","genus",NA,"Bathyagonus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"162","ASV65","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"163","ASV66","Malacocottus","genus",NA,"Malacocottus","Psychrolutidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"164","ASV67","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"165","ASV68","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"166","ASV69","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"167","ASV7","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"168","ASV70","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"169","ASV71","Lepidopsetta","genus",NA,"Lepidopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"170","ASV72","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"171","ASV73","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"172","ASV74","Triglops scepticus","species","Triglops scepticus","Triglops","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"173","ASV75","Gadus macrocephalus","species","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"174","ASV77","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"175","ASV78","Lycodes palearis","species","Lycodes palearis","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"176","ASV79","Agonidae","family",NA,NA,"Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"177","ASV8","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"178","ASV80","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"179","ASV81","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"180","ASV82","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"181","ASV83","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"182","ASV84","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"183","ASV85","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota"
"184","ASV86","Platichthys stellatus","species","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"185","ASV87","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"186","ASV88","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"187","ASV89","Hippoglossoides","genus",NA,"Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"188","ASV9","Myoxocephalus","genus",NA,"Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"189","ASV90","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"190","ASV91","Lycodes brevipes","species","Lycodes brevipes","Lycodes","Zoarcidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"191","ASV92","Gadus chalcogrammus","species","Gadus chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"192","ASV93","Myoxocephalus","genus",NA,"Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"193","ASV94","Sebastes","genus",NA,"Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"194","ASV95","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
"195","ASV96","Careproctus","genus",NA,"Careproctus","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"196","ASV97","Atheresthes","genus",NA,"Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota"
"197","ASV98","Aspidophoroides monopterygius","species","Aspidophoroides monopterygius","Aspidophoroides","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota"
"198","ASV99","Gadus","genus",NA,"Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota"
