"","alternative_ID","sample_type","haul","net","depth_m","Agonidae","Ammodytes personatus","Aspidophoroides monopterygius","Atheresthes","Bathyagonus","Bathymaster","Careproctus","Clupea pallasii","Dasycottus setiger","Gadus","Gasterosteus aculeatus","Glyptocephalus zachirus","Hemilepidotus","Hemitripterus bolini","Hippoglossoides","Hippoglossus stenolepis","Icelus spatula","Lepidopsetta","Leptoclinus maculatus","Limanda aspera","Lycodes brevipes","Lycodes palearis","Malacocottus","Microgadus proximus","Myoxocephalus","Oncorhynchus gorbuscha","Oncorhynchus keta","Oncorhynchus tshawytscha","Platichthys stellatus","Pleuronectes quadrituberculatus","Ptilichthys goodei","Reinhardtius hippoglossoides","Sarritor leptorhynchus","Sebastes","Sebastolobus","Triglops scepticus","Zaprora silenus"
"11","202401_162_192_16","sample",192,"Net_codend",121,0,0,0,0.0366177234712553,0,0.00242785465402157,0,0,0,0.671163352587507,0,0,0,0,0.00159010503725855,0,0,0,0,0.000417734209646875,0.281838429599845,0.00594480044046633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","202401_162_192_17","sample",192,"CTD_roof",121,0,0,0,0.0417820106099197,0,0,0,0,0,0.738794163356113,0.000141381185426862,0,0,0,0.0189577230915028,0,0,0,0,0,0.172306738786995,0.0186573746006114,0,0,0.00919831559078603,0,0,0,0,0,0.000130505709624796,0,0,3.17870690203225e-05,0,0,0
"13","202401_162_193_19","sample",193,"Net_codend",133,0,0,0,0.170841139471822,0,0.022141510370065,0,0,0,0.60532259015856,0,0,0,0,0.0371154121408284,0,0.0020860656053679,0,0,0.00122586845953529,0.157741020860369,0.00348974499795206,0,0,0,0,0,0,0,0,0,0,0,3.66479354996335e-05,0,0,0
"14","202401_162_193_20","sample",193,"CTD_roof",133,0,0,0,0.123356579036043,0,0,0.000434971726837756,0.00111987698067794,0,0.766141916218132,0,0,0.00295853210655086,0.00159838531742052,0.0290292788736989,0,0.00533402572081652,0,0.00125133400438604,0,0.0607206866319301,0.00520527160909704,0,0,0.00284914177440927,0,0,0,0,0,0,0,0,0,0,0,0
"15","202401_162_194_22","sample",194,"Net_codend",137,0,0,0,0.0222203653271188,0,0,0,0,0,0.573180057205765,0,0,0,0,0.00201433907394123,0,0.000334000601583122,0,0,0,0.394212106291388,0.00803913150020391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","202401_162_194_23","sample",194,"CTD_roof",137,0,0,0,0.166058531349916,0,0.000875398147952834,0,0,0,0.711960629285792,0,0.00172592555128465,0,0,0.0307171577050324,0.0041088615304946,0.001173309753775,0.000827551807010384,0,0,0.0771730252341405,0.00312194288575677,0,0,0.00211029450924003,0,0,0,0.000102026935110869,0,0,0,0,4.53453044937197e-05,0,0,0
"17","202401_162_195_25","sample",195,"Net_codend",134,0,0,0,0.0884350669159015,0,0.0516348688608314,0,0,0,0.232415386557377,0,0,0,6.95197575150858e-05,0.0140190861012554,0,0.00241030079071658,0,0,0,0.606536859900179,0.00445210491434107,0,0,0,0,0,0,0,0,0,0,0,2.68062018828676e-05,0,0,0
"18","202401_162_195_26","sample",195,"CTD_roof",134,0,0,0.00193101968567291,0.0773501460789289,0,0.00504590379246564,0,0.000710722523199056,0,0.733582024562132,0,0,0.00271811027739997,0.00162573175176802,0.101425475367156,0.000430562990201783,0.00139074289271258,0.000954220680987735,0.000372378802336677,0.00230787809782466,0.0422812571633565,0.00272548935353343,0,0.00021351878965349,0.00643339345798062,0,0.0160184999982853,0,0.000661407202978887,0.000835787019997546,0,0,0,0.000824706324089471,0.000161023187338977,0,0
"19","202401_162_196_28","sample",196,"Net_codend",136,0,0,0,0.024165661769478,0,0,0,0,0,0.777253631585229,0,0.032231460087009,0,0,0.0791604595208349,0.00378734601378137,0,0.000375508133839304,0,0.00173218158625184,0.0803598389969249,0.000859252010997251,0,0,7.46602956547708e-05,0,0,0,0,0,0,0,0,0,0,0,0
"20","202401_162_196_29","sample",196,"CTD_roof",136,0,0,0,0.0448885652307015,0,0,0,0,0,0.733867805010174,0,0.00747360672220626,0,0,0.144975961457231,0,0,0,0,0,0.0687716183162573,0,0,0,0,0,0,0,0,0,0,0,0,2.24432634300488e-05,0,0,0
"21","202401_162_197_31","sample",197,"CTD_roof",192,0,0,0,0.0467258101257318,0,0,0,0,0,0.773637252200566,0,0.013749851389002,0,0,0.10867731660045,0.00467644978258152,0.00337911252797351,0,0,0,0.0436470704508033,0.00153748686569009,0,0,0.00182591928949829,0.000202645444161969,0,0,0,0,0,0,0.00194108532354229,0,0,0,0
"22","202401_162_197_32","sample",197,"Net_codend",192,0.0010748700846164,0,0,0.196010860816287,0,0.0598250900861646,0,0,0,0.233578432257174,0,0.0727238273772334,0,0.00277215496349808,0.00767818176807194,0.0699063958236407,0,0,0,0,0.0707510222862902,0.0014194259566486,0,0,0,0,0,0,0,0,0,0,0,0.262372368315757,0,0.0211501484148112,0.000737221849806556
"23","202401_162_198_34","sample",198,"Net_codend",157,0.00196983957866913,0,0,0.59785679935022,0,0.0110023413336974,0,0,0,0.228918309773616,0,0.018918636002946,0,0,0.00633899821011713,0.0115251991490003,0,0.000437438832705596,0,0.000505346029044098,0.102524718575425,0.00629038269886537,0,0,0,0,0,0,0,0,0,0,0,0.00135683546730353,0,0.0123551549983904,0
"24","202401_162_198_35","sample",198,"CTD_roof",157,0,0,0,0.0947599353765877,0,0.00382826129094786,0,0,0,0.405462955953292,0,0.0350087546439051,0,0,0.234218626104645,0.0238342437493245,0.10076624241224,0,0,0,0.0145930079899418,0,0.00617506161216183,0,0,0,0,0,0,0,0,0,0,0.0749799038004353,0,0.00637300706651872,0
"25","202401_162_199_37","sample",199,"Net_codend",176,0,0,0,0.0260279200451845,0,0.00109711834154942,0,0,0,0.776813812821045,0,0.0130158238784761,0,0,0.0165234665675222,0.00202782536314846,0,0,0,0,0.0203308079054469,0.000100581382657266,0,0,0,0,0,0,0,0,0,0,0,0.140527652175713,0,0.00353499151925773,0
"26","202401_162_199_38","sample",199,"CTD_roof",176,0,0,0,0.174871209183576,0,0.0173564574210971,0,0,0,0.706470757061075,0,0.00404826771332322,0,0,0.0117167599032601,0.00926879101723873,0.0402260980294736,0,0,0,0.0131839126025136,0,0,0,0.00652004203030423,0,0,0,0,0,0,0.00117961934972244,0,0.0151580856884165,0,0,0
"27","202401_162_200_40","sample",200,"Net_codend",116,0.000182854088761795,0,0,0.0257516080428224,0,0,0,8.24579052393753e-06,0,0.959832242532162,0,0,0,0,0.0110826607326968,0,0,0.0020716360366261,0,0,0.000424371068133262,0.000326578762587169,0,0,0,0,0,0,0.000182577396783852,0,0,0,0,0.000137225548902196,0,0,0
"28","202401_162_200_41","sample",200,"CTD_roof",116,0,0,0,0.0172533842687929,0,0.00781884423764897,0,0,0,0.779054038151601,0,0.0233183539594235,0,0,0.0139088538319112,0.0098937323634654,0,0,0,0,0.0618744701790615,0,0,0,0,0,0.00449926475429625,0,0,0,0,0,0,0.0823790582537993,0,0,0
"29","202401_162_201_43","sample",201,"Net_codend",110,0,0,0,0.041044925502127,0,0,0,0,0,0.894872002751728,0,7.17287471941402e-05,0.000211098282897401,0,0.00709952230819778,0,0,0.000600727964025919,0,0,0.000504994150448415,0.000767054728189769,0,0,0.0548279455651919,0,0,0,0,0,0,0,0,0,0,0,0
"30","202401_162_201_44","sample",201,"CTD_roof",110,0,0,0,0.0259794483408724,0.000476774281433047,0.00036325659537756,0,0,0,0.905809080031458,0,0.00210184119455684,0,0,0.0525023849764619,0.000236505023366696,0.000136221223266585,0.00226398037840755,0,0,0.00292735933368116,0.00205513731275169,0,0,0,0,0,0,0.000313829090649268,0,0,0,0,0.0048341822177174,0,0,0
"31","202401_162_202_46","sample",202,"Net_codend",109,0,0,0,0.0378052003350036,0,0,0,0,0,0.958557049235928,0,0,0,5.6596939237526e-05,0.00157805929515705,0,0,0,0,0,0.000355365220682065,0.00108253073212636,0,0,6.22566331612786e-05,0,0.000502941608703689,0,0,0,0,0,0,0,0,0,0
"32","202401_162_202_47","sample",202,"CTD_roof",109,0,0,0,0.0362767018190427,0,0,0,0.000166804558434973,0,0.935946565284039,0,0.00094115637129752,0.0002989449003517,0,0.0128724696873611,0.000105509964830012,0,0.000442217284811753,0,0,0.0066445195928172,0.000626473586061489,0,0,0.00184778329690286,0,0.000329122093803093,0,0.000146541617819461,0,0,0,0,0.00335518994242682,0,0,0
"33","202401_162_203_49","sample",203,"Net_codend",118,0,0,0,0.00514638014585032,0,0.000246161700886182,0,2.73513000984647e-05,0,0.987385837817652,0,0.000349377019141975,0,0,0.00580561918167353,0,0,0,0,0,0.000396517282383436,0.000273513000984647,0,0,0.000369242551329273,0,0,0,0,0,0,0,0,0,0,0,0
"34","202401_162_203_50","sample",203,"CTD_roof",118,0,0,0,0.00998808439421751,0,0,0,0,0,0.837902623481412,0,0.0103278761383648,0,0,0.140191102271998,0.00159031371400798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
